Covidence ID,Study ID,Title,Domain 1: Risk of bias arising from the randomization process,Domain 2: Risk of bias due to deviations from the intended interventions,Domain 3: Risk of bias due to missing outcome data,Domain 4: Risk of bias in measurement of the outcome,Domain 5: Risk of bias in selection of the reported result,Overall ROB,Reason if NA
1446,Seo 2017,"Randomized controlled trial of piperacillin-tazobactam, cefepime and ertapenem for the treatment of urinary tract infection caused by extended-spectrum beta-lactamase-producing Escherichia coli",High - no details randomization and allocation concealment. Prognostic factors not balanced.,Some concerns - Enrolment ended early in cefepime group due to high failure rate,Low,Some concerns - outcome assessors had knowledge of outcome and failure rate in cefepime higher,Low,High,
2804,Fujita 2016,The efficacy and safety of cefepime or meropenem in the treatment of febrile neutropenia in patients with lung cancer. A randomized phase II study,High risk - cluster randomization for a small number,High risk,Low,Low,Low,High,
3417,Schwartz 1996,Current and future management of serious skin and skin-structure infections,some concern,Low,High risk - large proportion of patients randomized were not evaluated,Low,Low,High,
2664,Cherif 2004,"A prospective, randomized study comparing cefepime and imipenem-cilastatin in the empirical treatment of febrile neutropenia in patients treated for haematological malignancies",Some concerns,High - open label and decision to modify antibiotics was up to the clinician.,Low,Low,Low,High,
1344,Ramphal 1996,Clinical experience with single agent and combination regimens in the management of infection in the febrile neutropenic patient,Some concerns,High risk,High risk,Low,Low,High,
2672,Chuang 2002,Cefepime versus ceftazidime as empiric monotherapy for fever and neutropenia in children with cancer,some concerns,High risk,Low,Low,Low,High,
751,Hoepelman 1993,International comparative study of cefepime and ceftazidime in the treatment of serious bacterial infections,some concerns,Low,high risk,Low,Low,High,
2642,Chandrasekar 2000,Cefepime versus ceftazidime as empiric therapy for fever in neutropenic patients with cancer,some concerns,Low,High risk - large proportion of patients randomized were not evaluated,Low,Low,High,
3438,Sharifi 1996,Treatment of urinary tract infections: Selecting an appropriate broad- spectrum antibiotic for nosocomial infections,Some concerns,Some concerns - modifications could be made and trial non-blinded.,Some concerns - high attrition,Some concerns,Some concerns - no ITT,High,
1550,Tamura 2002,Cefepime or carbapenem treatment for febrile neutropenia as a single agent is as effective as a combination of 4th-generation cephalosporin + aminoglycosides: comparative study,Some concerns,Some concerns - open label and assessors could modify therapy,Some concerns,Low,Some concerns - no ITT,High,
1199,Mustafa 2001,Comparative study of cefepime versus ceftazidime in the empiric treatment of pediatric cancer patients with fever and neutropenia,Some concerns - allocation concealment not indicated,High risk,High risk,Low,Some concerns - modified ITT reported.,High,
3232,Naeem 2011,A prospective study of cefepime versus ticarcilline/clavulanate as empirical treatment of febrile neutropenia in lymphoma patients,Some concerns - allocation concealment not mentioned.,High - open label and decision to modify antibiotics was up to the clinician.,Some concern - 16/123 not evaluated and some for error in definition of treatment regimen.,Low,Low,High,
A19,Aviles-Robles 2019,Safety and Efficacy of Ambulatory Versus In-hospital Antibiotic Treatment in Pediatric Patients With Cancer and Febrile Neutropenia: a Non-inferiority Multicenter Randomized Clinical Trial,Some concerns. More females in inpatient group,Low,Low,Some concerns - oral could favour cefepime,Some concerns - No PP analysis to compare,High,
3167,McCabe 1996,A new therapeutic option for the treatment of pneumonia,Some concerns. No information on allocation sequence. No differences in baseline demographics,study #1 and study #2:  High risk,study #1 and study #2:  High risk,Low,study #1 and study #2:  High risk,High,
1437,Schrank 1995,Randomized comparison of cefepime and ceftazidime for treatment of hospitalized patients with gram-negative bacteremia,Low,Some concerns,Low,Some concerns - worsening of infection determined by clinicians in an open trial,Some concerns - ITT not done. ,High,
1432,Schaad 1998,"Cefepine vs. ceftazidime treatment of pyelonephritis: a European, randomized, controlled study of 300 pediatric cases. European Society for Paediatric Infectious Diseases (ESPID) Pyelonephritis Study Group",some concern ,Some concerns - frequency of step downs not tabulated,Some concerns - reasons for discontinuation would affect the outcome.,low,Some concerns - ITT not done.,High,
1001,Leophonte 1993,A comparative study of cefepime and ceftazidime in the treatment of community-acquired lower respiratory tract infections,some concern (randomization procedure not available) ,low risk ,Some concern (discontinuation of treatment in cefepime group because of side effects when one of the goals of treatment is safety outcome),Some concerns,Some concerns - randomized patients excluded before analysis,High,
2933,Huang 2002,Safety and efficacy of cefepime versus ceftazidime in the treatment of severe infections,some concern (randomization process not available) ,Some concerns - modifications could be made and trial non-blinded.,Some concern,Some concerns,Low,High,
2918,Holloway 1996,Clinical applications of a new parenteral antibiotic in the treatment of severe bacterial infections,Some concerns,Some concerns,some concern (58% of patients failed to meet micro and other protocol requirements to be in final analysis - -- no further elaboration) ,low ,Some concerns - narrative summary only,High,
3605,Wang 1999,A comparative study of cefepime versus ceftazidime as empiric therapy of febrile episodes in neutropenic patients,Some concerns,High - open label and decision to modify antibiotics was up to the clinician.,Low,Some concerns - open label with assessor knowing status,Low,High,
3118,Liu 2019,Randomized noninferiority trial of cefoperazone-sulbactam versus cefepime in the treatment of hospital-acquired and healthcare-associated pneumonia,Some concerns,Some concerns,Some concerns. 8/79 vs 3/87 lost to follow-up for ITT analysis,Low,Low,High,
3578,Uygun 2009,Piperacillin/tazobactam versus cefepime for the empirical treatment of pediatric cancer patients with neutropenia and fever: A randomized and open-label study,Some concerns,High - open label and decision to modify antibiotics was up to the clinician.,Low,Low,Low,High,
3435,Shahid 2008,Efficacy and safety of cefepime in late-onset ventilator-associated pneumonia in infants: A pilot randomized and controlled study,Some concerns,Some concerns,Low,Some concerns,Low,High,
56,Paladino 2007,Cefepime vs. Ceftriaxone to Treat Nursing Home-Acquired Pneumonia,Low,Low,Low,Low,Low,Low,
315,Biron 1998,Cefepime versus imipenem-cilastatin as empirical monotherapy in 400 febrile patients with short duration neutropenia. CEMIC (Study Group of Infectious Diseases in Cancer),Low,Low,Low,Low,Low,Low,
330,Bohme 1998,Piperacillin/tazobactam versus cefepime as initial empirical antimicrobial therapy in febrile neutropenic patients: a prospective randomized pilot study,Low,Low,Low,Low,Low,Low,
2692,Cornely 2002,A randomized monocentric trial in febrile neutropenic patients: Ceftriaxone and gentamicin vs cefepime and gentamicin,Low,Low,Low,Low,Low,Low,
3124,Liu 2014,"Multicenter, double-blind, randomized clinical trial of parenterally administered Cefoselis versus Cefepime for the treatment of acute bacterial infections",Low,Low,Low,Low,Low,Low,
3228,Nakane 2015,"Cefozopran, meropenem, or imipenem-cilastatin compared with cefepime as empirical therapy in febrile neutropenic adult patients: A multicenter prospective randomized trial",Low,Low,Low,Low,Low,Low,
Q23,Qian 2023,Cefepime vs Piperacillin-Tazobactam in Adults Hospitalized with Acute Infection: The ACORN Randomized Clinical Trial,Low,Low,Low,Low,Low,Low,
2976,Jindal 2016,A randomized open label study of 'imipenem vs. cefepime' in spontaneous bacterial peritonitis,Low,Low,Low risk,Low risk,Low,Low,
3411,Sarashina 2014,A randomized trial of cefozopran versus cefepime as empirical antibiotic treatment of febrile neutropenia in pediatric cancer patients,Low,low ,low,low,low,Low,
3688,Zanetti 2003,"Cefepime versus Imipenem-Cilastatin for Treatment of Nosocomial Pneumonia in Intensive Care Unit Patients: A Multicenter, Evaluator-Blind, Prospective, Randomized Study",Low,Low - open label evaluator blind,Low,Low,Low,Low,
2440,Aamir 2016,A clinical evaluation of efficacy and safety of cefepime monotherapy versus piperacillin-tazobactam in patients of paediatric age group with febrile neutropenia in a tertiary care centre of north India,Low,Low risk,Low risk,Low risk,Low risk,Low,
4,Bao 2001,Clinical analysis of the therapeutic effect of maxipime and claforan in aged patients with bacterial lower-respiratory infection,Full text in Chinese,Full text in Chinese,Full text in Chinese,Full text in Chinese,Full text in Chinese,NA,Full text in Chinese
A04,Atay 2004,Comparison of cefepime and meropenem use in treatment of neutropenic fever,N/A,N/A,N/A,N/A,N/A,NA,Full text in Turkish
19,Huang 2005,Therapeutic effects of cefepime and sulbactam/cefoperazone on moderate and severe respiratory tract infection in children,N/A,N/A,N/A,N/A,N/A,NA,Results only
3647,Xu 2010,"A multicenter, double-blind, randomized controlled clinical trial of injectable cefoselis in the treatment of acute bacterial infections. [Chinese]",N/A - abstract only,N/A - abstract only,N/A - abstract only,N/A - abstract only,N/A - abstract only,NA,Abstract only
3090,Lee 2018,Clinical efficacy and cost-effectiveness analysis of cefepime or piperacillin/tazobactam both with ciprofloxacin in micu patients with severe pneumonia,NA,NA,NA,NA,NA,NA,Abstract only
3624,Willis 1998,Cefepime vs cefotaxime in the treatment of pneumonia,na,na,na,na,na,NA,Results only
